district,capacity,name,latitude,longitude
Warangal ,5000MT Godown  ,Hanamkonda/ Warangal,18.003539,79.627843
Warangal ,"Godown,  5000 MT's",Huzurabad/ Elakurthy,18.100657,79.452
Warangal ,5000MT Godown   ,Bheemadevarpalle/Huzurabad,18.095424,79.341487
Warangal ,5000MT Godown ,Dharmasagar/ Warangal,17.990141,79.41051
Warangal ,5000MT Godown,Hasanparthy/ Athmakur,18.034397,79.534914
Warangal ,"Godown,  5000 MT's",Nekkonda,17.801516,79.807044
Warangal ,"Godown,  2500 MT's",Ellanda,17.796501,79.595577
Warangal ,"Godown,  2500 MT's",Rayaparthy,17.719907,79.602228
Warangal ,"Godown,  5000 MT's",Parkal,18.190622,79.708143
Warangal ,"Godown,  5000 MT's",Narsampet,17.921874,79.898224
Warangal ,"Godown,   5000MT's",     Warangal /                Parvhigiri (S.Y),17.736407,79.727394
Warangal ,5000MT Godown  ,Chennaraopet/ Narsampet,17.875552,79.854521
Warangal ,5000MT Godown  ,Shayampet/ Parkal,18.107244,79.737098
Warangal ,5000MT Godown ,Geesugonda/ Warangal ,17.977437,79.659825
Warangal ,5000MT Godown  ,Nallabelly/ Narsampet,18.042114,79.862616
Warangal ,5000MT Godown ,Athmakur,18.075259,79.71542
Warangal ,5000MT Godown,Duggondi/ Narsampet,17.998313,79.81144
Warangal ,5000MT Godown ,Khanapur/ Narsampet,17.894672,79.927831
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Jagityal ,"Godown,  5000 MT's",Jagityal/ Chelgal ,18.847078,78.631138
Jagityal ,"Godown,  2500 MT's",Dharmapuri/ Raikal  ,18.91709,78.798278
Jagityal ,"Godown,  5000 MT's",Maillial/ Chepityal ,18.625535,78.930255
Jagityal ,"Godown,   5000MT's",Dharmaram/ Velgatoor ,18.76599,79.193333
Jagityal ,"Godown,  2500 MT's",Gollapally/ Pegadapally ,18.694272,79.061708
Jagityal ,"Godown,  2500 MT's",Ibrahimpnam,18.899747,78.579805
Jagityal ,5000MT Godown  ,Mallapur,18.917258,78.797487
Jagityal ,5000MT Godown  ,Kodimial / Mallial,18.578066,79.024411
Jagityal ,5000MT Godown   ,Sarangapur / Dharmapuri,18.850208,79.169052
Jagityal ,"Godown,  10000MT's",Metpally,18.848076,78.630788
Jagityal ,"Godown,  2500 MT's",Medipalli (M),,
Jagityal ,5000MT Godown  ,Rajaram(V)/ Dharmapuri(M)                     ,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Khammam ,"Godown,  2500 MT's",Nelakondapally,17.098775,80.042648
Khammam ,"Godown,  5000 MT's",Madhira/ Yerrupalem,,
Khammam ,"Godown,  2500 MT's",Enkoor ,17.328311,80.438846
Khammam ,5000MT Godown  ,Vemsoor/ Sathupally,,
Khammam ,5000MT Godown ,Ayyagaripet/ Sathupally ,,
Khammam ,5000MT Godown  ,Konijerla/ Wyra,17.211038,80.291854
Khammam ,5000MT Godown  ,Nelakondapally/ Singareddypalem ,17.104048,80.040232
Khammam ,10000MT Godown ,Khammam(Rural),17.283618,80.092939
Khammam ,5000MT Godown  ,Chinthakani/ Khammam,17.163117,80.221571
Khammam ,5000MT Godown  ,Bonakal/ Madhira,17.026961,80.248894
Khammam ,5000MT Godown  ,Singareni/ Yellandu ,17.512531,80.277132
Khammam ,5000MT Godown  ,Kamepalle/ Yellandu ,17.395055,80.277994
Khammam ,5000MT Godown  ,Manchukonda (V) Raghunadhapalem (M),,
Khammam ,5000MT Godown ,Kalluru,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Adilabad ,"Godown,  5000 MT's",Indervelly / Narnoor,19.49796,78.848521
Adilabad ,"Godown,  2500 MT's",Echoda,19.440163,78.455853
Adilabad ,5000MT Godown  ,Utnoor /              Jainoor,19.360643,78.776406
Adilabad ,5000MT Godown  ,Boath,19.340501,78.364
Adilabad ,5000MT Godown  ,Inderavelly,19.516785,78.583871
Adilabad ,"Godown,  5000 MT's",Adilabad / Bela,19.71702,78.772981
Adilabad ,5000MT Godown  ,Talamadugu / Adilabad,19.644779,78.39435
Adilabad ,5000MT Godown  ,Tamsi /Adilabad,19.714704,78.476993
Adilabad ,5000MT Godown  ,Gudinathnur / Echoda,19.504049,78.530131
Adilabad ,"Godown,  2500 MT's",Jainath,19.727541,78.642695
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Medak ,"Godown,   10000 MT's",Medak,18.039018,78.257074
Medak ,"Godown,  7500 MT's  (5000MT's)",Ramayampet,18.10531,78.433336
Medak ,"Godown,  10000 MT's",Chegunta,17.979648,78.455257
Medak ,"Godown,  10000 MT's",Narsapur,17.74795,78.288362
Medak ,5000MT Godown  ,Kulcharam / Medak,17.942372,78.197587
Medak ,2500MT Godown  ,Chinna Shankarampet /Ramayampet,17.984237,78.414499
Medak ,5000MT Godown  ,Toopran / Vantimamidi,17.783411,78.468593
Medak ,5000MT Godown  ,Shankarmapet(A) / Jogipet,18.0444,77.918786
Medak ,2500MT Godown   ,Tekmal/ Jogipet,17.980931,78.025425
Medak ,2500MT Godown  ,Regode/ Vatpally,17.96876,77.831546
Medak ,5000MT Godown  ,Shivampet / Chinna gottimukkala,17.772694,78.359234
Medak ,5000MT Godown  ,Kowdipally / Narsapur,17.898006,78.205066
Medak ,5000MT Godown  ,Masaipet / Medak,17.899605,78.469725
Medak ,5000MT Godown  ,Pappannapet / Medak,18.026798,78.072989
